RMSE_COT_mean,RMSE_COT_std,MAE_COT_mean,MAE_COT_std,MAEP_COT_mean,MAEP_COT_std
17.664293066144083,18.835458263700673,17.664293066144083,18.835458263700673,19.089851781947036,20.355533343604368
17.14021229398701,15.909765106840009,17.14021229398701,15.909765106840009,18.523476200157013,17.19372842365698
15.9455628900397,11.904718100606756,15.9455628900397,11.904718100606756,17.23241518982676,12.865462727292329
15.391329761086029,12.480432420671614,15.391329761086029,12.480432420671614,16.633453870245358,13.487638831234289
16.69020481562388,17.432989207422693,16.69020481562388,17.432989207422693,18.03715183775245,18.839881043630495
16.256705594122764,15.520949325953648,16.256705594122764,15.520949325953648,17.568667995514414,16.773534102842145
16.15239934930967,13.585542049523928,16.15239934930967,13.585542049523928,17.455943939931917,14.681933951825734
15.832907053503117,12.545012621774928,15.832907053503117,12.545012621774928,17.11066770670916,13.557430838335524
15.978246650087588,12.739623019834847,15.978246650087588,12.739623019834847,17.267736622315155,13.767746849300604
16.00252943139012,11.967702317942052,16.00252943139012,11.967702317942052,17.293979093167675,12.933529950193945
