RMSE_COT_mean,RMSE_COT_std,MAE_COT_mean,MAE_COT_std,MAEP_COT_mean,MAEP_COT_std
46.080234976239225,35.68564343693407,46.080234976239225,35.68564343693407,14.50322346599332,11.231645445395088
40.650102091438114,32.23743555088402,40.650102091438114,32.23743555088402,12.794151654208541,10.14636171031059
39.58996061211233,32.50956000193831,39.58996061211233,32.50956000193831,12.460484328333168,10.232009748482186
33.75502744748608,29.252483021668436,33.75502744748608,29.252483021668436,10.624006288684583,9.206882265622028
33.49587382309436,29.492620079258145,33.49587382309436,29.492620079258145,10.54244066888005,9.282462639951403
32.22631313295861,28.442384108458256,32.22631313295861,28.442384108458256,10.142861057313972,8.951912958848661
30.897856363514837,26.640392363551054,30.897856363514837,26.640392363551054,9.724744582819223,8.384756802337296
30.8321881891204,24.88786541724125,30.8321881891204,24.88786541724125,9.704076280924989,7.833169121727332
29.939156524817832,25.22415025181722,29.939156524817832,25.22415025181722,9.423004845497921,7.939010901974218
28.9524728455266,24.857446821429935,28.9524728455266,24.857446821429935,9.112457516509949,7.8235952188858935
