RMSE_COT_mean,RMSE_COT_std,MAE_COT_mean,MAE_COT_std,MAEP_COT_mean,MAEP_COT_std
15.586107682898511,16.626554120467304,15.586107682898511,16.626554120467304,16.843950924606546,17.96836435037284
15.930338953428958,15.839819914793722,15.930338953428958,15.839819914793722,17.215962638210428,17.118138455577103
15.181847610610184,11.581678628137261,15.181847610610184,11.581678628137261,16.407065914125454,12.516353050156116
14.478455543774905,12.431087271456752,14.478455543774905,12.431087271456752,15.646908105929963,13.434311388061642
15.19850442697324,16.090621075844624,15.19850442697324,16.090621075844624,16.425066982967504,17.38917998400251
14.536111685329889,14.532982759510823,14.536111685329889,14.532982759510823,15.709217262174272,15.705835823137958
14.51977848650356,13.403205565876215,14.51977848650356,13.403205565876215,15.691565927725042,14.484882395092471
14.231719112256332,12.415124464618742,14.231719112256332,12.415124464618742,15.380259342276707,13.417060337288175
14.530973404723898,12.373625444887418,14.530973404723898,12.373625444887418,15.703664307701926,13.372212228575268
14.574486920942666,11.961620136775082,14.574486920942666,11.961620136775082,15.75068948850125,12.926956919699396
