RMSE_COT_mean,RMSE_COT_std,MAE_COT_mean,MAE_COT_std,MAEP_COT_mean,MAEP_COT_std
14.205582810828544,12.556468850837222,14.205582810828544,12.556468850837222,15.352013766950458,13.569811617682895
14.372510904241565,15.273087058428784,14.372510904241565,15.273087058428784,15.532413432511099,16.505668645013223
13.072045608714486,10.693445455625477,13.072045608714486,10.693445455625477,14.126996887041779,11.556436933073718
13.651554400389886,11.980757246386672,13.651554400389886,11.980757246386672,14.75327368725077,12.947638448513041
13.517423676969399,12.89614261205522,13.517423676969399,12.89614261205522,14.608318232768983,13.93689801800401
13.816342639649525,13.75489694236283,13.816342639649525,13.75489694236283,14.931360806338706,14.864956266431609
13.49424771155579,12.502728118712735,13.49424771155579,12.502728118712735,14.583271900997163,13.51173385555178
12.728523703119475,11.756131091213346,12.728523703119475,11.756131091213346,13.755751786142179,12.704884323422915
12.767045398318047,11.731541537271589,12.767045398318047,11.731541537271589,13.797382291760288,12.67831032250623
12.701629386807783,11.535940050493737,12.701629386807783,11.535940050493737,13.72668702197389,12.466923239143442
