RMSE_COT_mean,RMSE_COT_std,MAE_COT_mean,MAE_COT_std,MAEP_COT_mean,MAEP_COT_std
7.604757905014567,7.126535935205138,7.604757905014567,7.126535935205138,20.13833775570632,18.871946942151155
7.373776745412625,7.093897051168331,7.373776745412625,7.093897051168331,19.52667112997438,18.78551514788337
7.372751610084753,7.4974258734988535,7.372751610084753,7.4974258734988535,19.52395644507108,19.854109285889518
7.598919432115855,7.85529057551956,7.598919432115855,7.85529057551956,20.122876758698876,20.801779195984356
7.514493429041901,7.818857800001338,7.514493429041901,7.818857800001338,19.899306279992846,20.705300708709967
7.688074891905254,8.073340631976034,7.688074891905254,8.073340631976034,20.358971422648697,21.379202664215445
7.393827666255246,7.379639598451624,7.393827666255246,7.379639598451624,19.57976844369365,19.54219668860308
7.119293750017138,7.102829224665647,7.119293750017138,7.102829224665647,18.852768741710467,18.809168645999716
7.054783349398292,7.339412912278752,7.054783349398292,7.339412912278752,18.681937236928228,19.43567145754899
7.198165907379866,7.258408527509979,7.198165907379866,7.258408527509979,19.061631951339326,19.221161846520996
