RMSE_COT_mean,RMSE_COT_std,MAE_COT_mean,MAE_COT_std,MAEP_COT_mean,MAEP_COT_std
12.238012828918288,9.732934218664171,12.238012828918288,9.732934218664171,13.2256552885993,10.518409706066862
12.284983935411853,9.924850832432147,12.284983935411853,9.924850832432147,13.276417097047487,10.725814536682233
12.21570754908082,10.028055079378145,12.21570754908082,10.028055079378145,13.201549909207232,10.837347660033915
12.122426488151536,10.125029037728414,12.122426488151536,10.125029037728414,13.100740801221141,10.942147692771337
11.920340460275458,10.079168503579725,11.920340460275458,10.079168503579725,12.882345855841148,10.892586083016496
11.928705348204373,10.117476137114448,11.928705348204373,10.117476137114448,12.891385814028984,10.933985251585353
11.776040737406966,10.226974211512363,11.776040737406966,10.226974211512363,12.726400734719082,11.052320132173989
11.680695173512866,10.238530786410651,11.680695173512866,10.238530786410651,12.623360512504187,11.064809355551862
11.661250681462032,10.22445129510373,11.661250681462032,10.22445129510373,12.602346794613767,11.049593609231989
11.71264424984833,10.261178163447553,11.71264424984833,10.261178163447553,12.657887970213947,11.08928444036083
