RMSE_COT_mean,RMSE_COT_std,MAE_COT_mean,MAE_COT_std,MAEP_COT_mean,MAEP_COT_std
0.2746888891772311,0.3785365230944781,0.2746888891772311,0.3785365230944781,27.55027719343491,37.9658098670428
0.2656044312023027,0.2639257680107608,0.2656044312023027,0.2639257680107608,26.639139738581743,26.47077604400377
0.25470216060375644,0.2395379202078722,0.25470216060375644,0.2395379202078722,25.545682417000776,24.024765325720317
0.25822416729009845,0.2506301147068599,0.25822416729009845,0.2506301147068599,25.898926630032076,25.137271310385152
0.26734583498755865,0.26059991238761376,0.26734583498755865,0.26059991238761376,26.81379608210258,26.137205055393725
0.25577571135195765,0.24253077681670293,0.25577571135195765,0.24253077681670293,25.653355576926366,24.324937747766448
0.2486766286508515,0.23554468470770326,0.2486766286508515,0.23554468470770326,24.941343901388944,23.624258609712093
0.24983661185964545,0.24643184849537142,0.24983661185964545,0.24643184849537142,25.057685916669307,24.7162007741695
0.2621176330021299,0.22530049589349602,0.2621176330021299,0.22530049589349602,26.28942680618005,22.59680445130528
0.2712469153613913,0.22881187514345971,0.2712469153613913,0.22881187514345971,27.20505998059836,22.948982771868362
