RMSE_COT_mean,RMSE_COT_std,MAE_COT_mean,MAE_COT_std,MAEP_COT_mean,MAEP_COT_std
13.460181832749992,10.892996942155929,13.460181832749992,10.892996942155929,14.546456808834153,11.772092792409222
13.521560469707529,13.516830158648435,13.521560469707529,13.516830158648435,14.612788876452704,14.607676815830606
12.867696819804344,11.000104188154943,12.867696819804344,11.000104188154943,13.90615656937338,11.887843897943842
13.822006319963965,12.416186201137485,13.822006319963965,12.416186201137485,14.93748156177104,13.41820775896525
13.635754598780427,13.273273487036743,13.635754598780427,13.273273487036743,14.736198796691644,14.344464427757016
14.108558494041135,14.521979474212406,14.108558494041135,14.521979474212406,15.247159311706717,15.693944541405102
13.611125792938186,12.99785361521571,13.611125792938186,12.99785361521571,14.709582376134412,14.046817388547533
12.742970942581035,11.355038741055862,12.742970942581035,11.355038741055862,13.771364958939234,12.271422679262672
12.625605261327502,11.417410042580634,12.625605261327502,11.417410042580634,13.644527533233731,12.338827522303749
12.520981136344451,11.138202841561936,12.520981136344451,11.138202841561936,13.531459943647013,12.037087505653156
