RMSE_COT_mean,RMSE_COT_std,MAE_COT_mean,MAE_COT_std,MAEP_COT_mean,MAEP_COT_std
43.921553195082815,36.48588006905545,43.921553195082815,36.48588006905545,13.823803226920678,11.483510712733995
40.28959286015299,35.7878945926969,40.28959286015299,35.7878945926969,12.6806855239777,11.263827819518161
39.00866534156261,35.00711114076393,39.00866534156261,35.00711114076393,12.277528334014677,11.018085216691322
34.50755848081623,31.05249385151272,34.50755848081623,31.05249385151272,10.860856768008519,9.77341495192237
32.80057788072501,30.358030587430992,32.80057788072501,30.358030587430992,10.323604275524403,9.554840634471645
31.90563975364207,30.271413649256633,31.90563975364207,30.271413649256633,10.041932802885123,9.527578950347625
31.145382632478896,28.65773079727537,31.145382632478896,28.65773079727537,9.802650626361329,9.019690850002794
30.145102631909147,27.029233767675397,30.145102631909147,27.029233767675397,9.487824011776842,8.507140157798784
29.01910974936727,26.513666670753057,29.01910974936727,26.513666670753057,9.133430714845018,8.344871349442364
28.797202181608586,26.17762471337172,28.797202181608586,26.17762471337172,9.0635878625753,8.2391060119964
