RMSE_COT_mean,RMSE_COT_std,MAE_COT_mean,MAE_COT_std,MAEP_COT_mean,MAEP_COT_std
44.36068442263045,34.983384893969614,44.36068442263045,34.983384893969614,13.962014725349523,11.010617653658173
41.573973112500404,36.81619900754769,41.573973112500404,36.81619900754769,13.084929422141602,11.587474795870138
35.91305595514844,28.817299780680866,35.91305595514844,28.817299780680866,11.303220917445696,9.069913350512277
33.196921332386296,27.60456944221985,33.196921332386296,27.60456944221985,10.44834881408179,8.688220437883704
30.06588723300824,24.82593622566383,30.06588723300824,24.82593622566383,9.462891876929874,7.813677621630193
28.39425232227774,25.0671920756363,28.39425232227774,25.0671920756363,8.93676403325934,7.889610122982085
27.712470078731858,23.553041211291102,27.712470078731858,23.553041211291102,8.722180921033658,7.413048569896499
26.985897980340326,22.480870779054605,26.985897980340326,22.480870779054605,8.493500717632749,7.0755952695742526
27.36874706546051,23.14238724783996,27.36874706546051,23.14238724783996,8.613998059673479,7.283799962501185
26.26843701756429,23.033227202051407,26.26843701756429,23.033227202051407,8.26768813927604,7.249443094780223
