RMSE_COT_mean,RMSE_COT_std,MAE_COT_mean,MAE_COT_std,MAEP_COT_mean,MAEP_COT_std
50.16137264145397,51.959285050425635,50.16137264145397,51.959285050425635,15.787714562547237,16.353586795035717
41.9680436894159,33.46105507520914,41.9680436894159,33.46105507520914,13.208958599538926,10.531481868829538
37.160882391023215,32.364990800528126,37.160882391023215,32.364990800528126,11.695959922695945,10.186508256672665
30.36067206656586,26.780958046601544,30.36067206656586,26.780958046601544,9.555672009619657,8.428998232833095
29.74395926187035,27.605924889322324,29.74395926187035,27.605924889322324,9.361568754168582,8.688647049254795
28.727950448470985,23.564107255058943,28.727950448470985,23.564107255058943,9.041791676821909,7.41653147977602
24.547365296017254,21.64959895728845,24.547365296017254,21.64959895728845,7.726000628535928,6.8139620335832785
26.07846456604865,20.257570232084312,26.07846456604865,20.257570232084312,8.207896497194904,6.375837017876921
25.223302154055524,20.901478754852594,25.223302154055524,20.901478754852594,7.9387439729673375,6.5784998125041945
25.25475463287763,20.976020164023087,25.25475463287763,20.976020164023087,7.94864327858398,6.6019608628922235
