RMSE_COT_mean,RMSE_COT_std,MAE_COT_mean,MAE_COT_std,MAEP_COT_mean,MAEP_COT_std
9.034896602283514,9.90365529119991,9.034896602283514,9.90365529119991,23.925521579680098,26.226101838003192
8.485786405459946,8.574600063096396,8.485786405459946,8.574600063096396,22.471409989691992,22.706599519344618
8.114539546697314,8.282697960400093,8.114539546697314,8.282697960400093,21.488302476489363,21.93360671548129
7.607047929456314,7.6638406562594374,7.607047929456314,7.6638406562594374,20.144402023136365,20.294796174891633
8.429031410864226,8.421813009663204,8.429031410864226,8.421813009663204,22.32111575748005,22.30200053997305
8.347152603299092,7.967319834051394,8.347152603299092,7.967319834051394,22.104290566937973,21.098446502822323
8.063556547255843,7.532184753163362,8.063556547255843,7.532184753163362,21.353293200010704,19.946155090297342
8.039201779876679,7.251351798501653,8.039201779876679,7.251351798501653,21.288798769343845,19.202474756939033
7.962668729530496,7.150485356532309,7.962668729530496,7.150485356532309,21.08612980386243,18.93536796643153
7.864739949191816,6.968865886238389,7.864739949191816,6.968865886238389,20.826802304013384,18.454417187790742
